"","Estimate","Std. Error"
"a",0.963362717251273,0.00243254940380099
"m1a1f",0.369896650929612,0.0244148550336452
"m1a1m",0.520107707220277,0.0393793851726257
"m1a2f",0.246026385748307,0.0223885028727731
"m1a2m",0.884456431522449,0.0500187766982619
"m1a3f",0.400386911143554,0.0385271298504039
"m1a3m",0.681820511858449,0.0503480967364102
"m1a4f",0.128343443427487,0.0113581017467761
"m1a4m",0.186965624414364,0.0155319992507143
"m1a5f",0.0660727224561661,0.0042728886933214
"m1a5m",0.105014692543132,0.00610152795817117
"m1a6f",0.0287990285774807,0.00708714282498109
"m1a6m",0.0552502739995192,0.00768195884179345
"m2a1f",3.95744778322489,NA
"m2a1m",9.09163426813139,1.5050668509014
"m2a2f",4.81093500613358,0.684941921315807
"m2a2m",9.16814253676667,1.43852294865132
"m2a3f",3.6317069717139,0.565041045299373
"m2a3m",6.29544180450698,0.745118833132158
"m2a4f",3.54126790257902,0.665733701614271
"m2a4m",4.17279645445962,0.341891360637987
"m2a5f",1.78484205432823,0.237739749485926
"m2a5m",1.65017143326546,0.102681718255647
"m2a6f",1.13550780589958,NA
"m2a6m",3.23237401112442,NA
